category,raw_reviews,analyze_reviews,Positive,Neutral,Negative,trust,surprise,joy,anticipation,TopKeyword
Trek1500,great value  has held up very well with       miles on it  needs little mechanical adjustments  corners well  nice quiet     and ultegra components ,great value held well miles needs little mechanical adjustments corners well nice quiet ultegra components,0.574,0.426,0.0,0.0,0.0,0.0,,"['great', 'components', 'held', 'miles', 'mechanical', 'adjustments', 'corners', 'nice', 'quiet', 'ultegra']"
Trek1500,stiff aluminum frame  available in    cm  is ideal for a tall        rider  bike was excellently fitted for the rider  by the trek dealer  who special ordered the machine  to fit the rider ,stiff aluminum frame available ideal tall rider bike excellently fitted rider trek dealer special ordered machine fit rider,0.476,0.524,0.0,0.1428571428571428,0.0,0.1428571428571428,,"['rider', 'stiff', 'aluminum', 'frame', 'ideal', 'tall', 'bike', 'excellently', 'fitted', 'trek']"
Trek1500,a lot of bike for the money  very reliable  fast and true ,lot bike money reliable fast true,0.359,0.641,0.0,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.0909090909090909,"['lot', 'true', 'bike', 'money', 'reliable', 'fast']"
Trek1500,    and ultegra parts carbon seat post and forkpiant makes it look like a fine sports car,ultegra parts carbon seat post forkpiant makes look like fine sports car,0.301,0.699,0.0,0.0,0.0,0.0,,"['ultegra', 'car', 'parts', 'carbon', 'seat', 'post', 'forkpiant', 'makes', 'fine', 'sports']"
Trek1500,stiff frame for out of saddle hammering  light  and just enough performance to feel fast without being extravagant  great bang for your buck ,stiff frame saddle hammering light enough performance feel fast without extravagant great bang buck,0.0,0.798,0.202,0.0,0.1818181818181818,0.0,,"['stiff', 'buck', 'frame', 'saddle', 'hammering', 'light', 'performance', 'feel', 'fast', 'extravagant']"
Trek1500,shimano     components  frame  esp  carbon seatpost and fork   price,shimano components frame esp carbon seatpost fork price,0.0,1.0,0.0,0.0,0.0,0.0,,"['shimano', 'price', 'components', 'frame', 'esp', 'carbon', 'seatpost', 'fork']"
Trek1500,shimano     ultegra setup is great  i was extremely surprised with the strength of the stock wheel set ,shimano ultegra setup great extremely surprised strength stock wheel set,0.583,0.417,0.0,0.3333333333333333,0.3333333333333333,0.0,,"['shimano', 'set', 'ultegra', 'setup', 'great', 'extremely', 'surprised', 'strength', 'stock', 'wheel']"
Trek1500,fast  responsive  and comfortable  i have found it to be very stable even at high speeds      mph  ,fast responsive comfortable found stable even high speeds mph,0.571,0.429,0.0,0.375,0.0,0.125,0.125,"['fast', 'mph', 'responsive', 'comfortable', 'found', 'stable', 'high', 'speeds']"
Trek1500,    drivechain with an ultegra crankset ,drivechain ultegra crankset,0.0,1.0,0.0,0.0,0.0,0.0,,"['drivechain', 'crankset', 'ultegra']"
Trek1500,pricegood componentsonly minor upgrades needed,pricegood componentsonly minor upgrades needed,0.0,1.0,0.0,0.0,0.0,0.0,,"['pricegood', 'needed', 'componentsonly', 'minor', 'upgrades']"
Trek1500,resonably stiff and cost effective  great looks,resonably stiff cost effective great looks,0.643,0.357,0.0,0.3333333333333333,0.0,0.0,,"['resonably', 'stiff', 'cost', 'effective', 'great']"
Trek1500,  relatively light aluminum carbon   above average component group  shimano     ultergra   excellent value,relatively light aluminum carbon average component group shimano ultergra excellent value,0.404,0.596,0.0,0.3333333333333333,0.0,0.3333333333333333,,"['light', 'aluminum', 'carbon', 'average', 'component', 'group', 'shimano', 'ultergra', 'excellent']"
Trek1500,full     gearing across the board carbon seat stays as well as carbon fork  good all around frame  ,full gearing across board carbon seat stays well carbon fork good around frame,0.312,0.688,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.2857142857142857,"['full', 'frame', 'carbon', 'gearing', 'board', 'seat', 'stays', 'fork', 'good']"
Trek1500,quality paint components lightweight the cost for what you get ,quality paint components lightweight cost get,0.0,1.0,0.0,0.0,0.0,0.0,,"['quality', 'paint', 'components', 'lightweight', 'cost']"
Trek1500,components  frame stiffness  weight  comfort,components frame stiffness weight comfort,0.385,0.615,0.0,0.1428571428571428,0.0714285714285714,0.1428571428571428,0.1428571428571428,"['components', 'comfort', 'frame', 'stiffness', 'weight']"
Trek1500,the shimano     shifting is quite effective ,shimano shifting quite effective,0.531,0.469,0.0,0.5,0.0,0.0,,"['shimano', 'effective', 'shifting']"
Trek1500,ultegra components  nice clean  solid ride  smooth shifting,ultegra components nice clean solid ride smooth shifting,0.587,0.413,0.0,0.25,0.0,0.25,,"['ultegra', 'shifting', 'components', 'nice', 'clean', 'solid', 'ride', 'smooth']"
Trek1500,stiff frame transfers all efforts into pedal stroke  while carbon fork shaves some road harshness   a nice combination for a road weary    something  very crisp shifting ,stiff frame transfers efforts pedal stroke carbon fork shaves road harshness nice combination road weary something crisp shifting,0.134,0.766,0.1,0.0909090909090909,0.0,0.0,,"['stiff', 'shifting', 'road', 'frame', 'transfers', 'efforts', 'pedal', 'stroke', 'carbon', 'fork']"
Trek1500,light  smooth  not twitchy  good components for the price point  carbon forks  stem and seat post smooth the ride almost as much as a full carbon  it must take an elite rider to really appreciate the differences in the high end bikes ,light smooth twitchy good components price point carbon forks stem seat post smooth ride almost much full carbon must take elite rider really appreciate differences high end bikes,0.185,0.815,0.0,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.1818181818181818,"['light', 'bikes', 'smooth', 'carbon', 'twitchy', 'good', 'components', 'price', 'point', 'forks']"
Trek1500,the shimano     sti shifters,shimano sti shifters,0.0,1.0,0.0,0.0,0.0,0.0,,"['shimano', 'shifters', 'sti']"
Trek1500,top notch bontrager shimano     combo  great premorming and good looking paired spoke wheels  compact crankset  frame remains stiff while sprinting ,top notch bontrager shimano combo great premorming good looking paired spoke wheels compact crankset frame remains stiff sprinting,0.37,0.63,0.0,0.25,0.0625,0.0625,0.125,"['top', 'sprinting', 'notch', 'bontrager', 'shimano', 'combo', 'great', 'premorming', 'good', 'paired']"
Trek1500,some of the strengths of the      include  sturdy frame that has a life time guaranty and it offers great mid range components with shimano     s ,strengths include sturdy frame life time guaranty offers great mid range components shimano,0.382,0.618,0.0,0.0,0.0,0.0,0.3333333333333333,"['strengths', 'shimano', 'include', 'sturdy', 'frame', 'life', 'time', 'guaranty', 'offers', 'great']"
Trek1500,firm and responsive but not so stiff that the ride is harsh  over      miles on the factory saddle and tires   no flats and no complaints ,firm responsive stiff ride harsh miles factory saddle tires flats complaints,0.155,0.497,0.348,0.25,0.0,0.0,0.25,"['firm', 'complaints', 'responsive', 'stiff', 'ride', 'harsh', 'miles', 'factory', 'saddle', 'tires']"
Trek1500,frame      and ultegra components ,frame ultegra components,0.0,1.0,0.0,0.0,0.0,0.0,,"['frame', 'components', 'ultegra']"
Trek1500,comfortable and responsive  the ultegra groupset is great ,comfortable responsive ultegra groupset great,0.832,0.168,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"['comfortable', 'great', 'responsive', 'ultegra', 'groupset']"
Trek1500,great bike to start a long relationship with the road ,great bike start long relationship road,0.451,0.549,0.0,0.0,0.0,0.0,1.0,"['great', 'road', 'bike', 'start', 'long', 'relationship']"
Trek1500,overall weight and extra ultegra equipment  most don t come with front ultegra cranks derailier ,overall weight extra ultegra equipment come front ultegra cranks derailier,0.0,1.0,0.0,0.1,0.1,0.1,0.1,"['derailier', 'ultegra', 'weight', 'extra', 'equipment', 'front', 'cranks']"
Trek1500,good mix of components  especially ultegra rear  for the money and nice red paint job ,good mix components especially ultegra rear money nice red paint job,0.388,0.612,0.0,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1538461538461538,"['good', 'job', 'mix', 'components', 'ultegra', 'rear', 'money', 'nice', 'red', 'paint']"
Trek1500,shimano     s and ultegra rear   crankset ,shimano ultegra rear crankset,0.0,1.0,0.0,0.0,0.0,0.0,,"['shimano', 'crankset', 'ultegra', 'rear']"
Trek1500,shimano     ultegra mix shifts very smoothly through most circumstances  and is race reliable  the bontrager components such as wheels  tires  carbon seat post  fork etc all function very well  very easy to climb with  and is an overall great looking bike ,shimano ultegra mix shifts smoothly circumstances race reliable bontrager components wheels tires carbon seat post fork etc function well easy climb overall great looking bike,0.293,0.707,0.0,0.5,0.0,0.0,,"['shimano', 'bike', 'ultegra', 'mix', 'shifts', 'smoothly', 'circumstances', 'race', 'reliable', 'bontrager']"
Trek1500,,,0.0,1.0,0.0,0.0,0.0,0.0,,[]
Trek1500,good price  nice component mix of ultegra     comfortable geometry ,good price nice component mix ultegra comfortable geometry,0.643,0.357,0.0,0.2,0.2,0.2,0.2,"['good', 'geometry', 'price', 'nice', 'component', 'mix', 'ultegra', 'comfortable']"
